name,quantity,protein,carbs,sugars,cholesterol,fiber,fat,calories
Syrups/ dark/ corn,0,0,77.59,77.59,0,0,0,286
Taco shells/ baked,0,6.41,63.49,1.5,0,6.7,22,476
Spices/ cumin seed,0,17.81,44.24,2.25,0,10.5,22,375
Bamboo shoots/ raw,0,2.6,5.2,3,0,2.2,0.3,27
Fish/ raw/ lingcod,0,17.66,0,0,52,0,1.1,85
Whey/ dried/ sweet,0,12.93,74.46,74.46,6,0,1.1,353
Whey/ fluid/ sweet,0,0.85,5.14,5.14,2,0,0.4,27
Spices/ poppy seed,0,17.99,28.13,2.99,0,19.5,42,525
Babyfood/ pretzels,0,10.8,82.2,3.08,0,2.3,2,397
Fat/ mutton tallow,0,0,0,0,102,0,100,902
Coffeecake/ cheese,0,7,44.3,0,85,1,15,339
Sauce/ horseradish,0,1.09,10.05,8.98,50,1,51,503
Yardlong bean/ raw,0,2.8,8.35,0,0,0,0.4,47
Cress/ raw/ garden,0,2.6,5.5,4.4,0,1.1,0.7,32
Dates/ deglet noor,0,2.45,75.03,63.35,0,8,0.4,282
Lambsquarters/ raw,0,4.2,7.3,0,0,4,0.8,43
Gravy/ dry/ turkey,0,10.42,65.12,0,14,0,7.2,367
Vital wheat gluten,0,75.16,13.79,0,0,0.6,1.9,370
Turnip greens/ raw,0,1.5,7.13,0.81,0,3.2,0.3,32
Sugars/ granulated,0,0,99.98,99.8,0,0,0,387
Frankfurter/ pork,0,12.81,0.28,0,66,0.1,24,269
Pomegranates/ raw,0,1.67,18.7,13.67,0,4,1.2,83
Pears/ raw/ asian,0,0.5,10.65,7.05,0,3.6,0.2,42
Cookies/ molasses,0,5.6,73.8,17.6,0,1,13,430
Cookies/ fig bars,0,3.7,70.9,46.36,0,4.6,7.3,348
Liverwurst spread,0,12.38,5.89,1.65,118,2.5,25,305
Roast beef spread,0,15.27,3.73,0.71,70,0.2,16,223
Chard/ raw/ swiss,0,1.8,3.74,1.1,0,1.6,0.2,19
Goose/ raw/ liver,0,16.37,6.32,0,515,0,4.3,133
TACO BELL/ Nachos,0,4.32,34.91,2.17,3,3.2,22,350
Sausage/ meatless,0,20.28,8.09,0,0,2.8,18,255
Frankfurter/ meat,0,10.26,4.17,0,77,0,26,290
Rice flour/ brown,0,7.23,76.48,0.66,0,4.6,2.8,363
Peppermint/ fresh,0,3.75,14.89,0,0,8,0.9,70
Vinegar/ red wine,0,0.04,0.27,0,0,0,0,19
Vinegar/ balsamic,0,0.49,17.03,14.95,0,0,0,88
Luxury loaf/ pork,0,18.4,4.9,0,36,0,4.8,141
Rye flour/ medium,0,10.88,75.43,1.1,0,11.8,1.5,349
DENNY'S/ coleslaw,0,0.97,10.88,8.16,23,1.3,15,183
Bread/ wheat bran,0,8.8,47.8,9.68,0,4,3.4,248
Croissants/ apple,0,7.4,37.1,0,31,2.5,8.7,254
Candies/ Tamarind,0,0,91.96,78.57,0,2.5,0,368
Oheloberries/ raw,0,0.38,6.84,0,0,0,0.2,28
PACE/ Salsa Verde,0,0,6.25,6.25,0,0,1.6,47
Barley malt flour,0,10.28,78.3,0.8,0,7.1,1.8,361
Rice noodles/ dry,0,5.95,80.18,0.12,0,1.6,0.6,364
Fish oil/ sardine,0,0,0,0,710,0,100,902
Fish oil/ herring,0,0,0,0,766,0,100,902
